area ,short names ,1965,1970,1975,1980,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MDG,water_withdrawal,,,,,,99.02,,,,,,,,,,,,,,,,97.23,,,,,,95.87,,,,,,,,,,,
MDV,water_withdrawal,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
MEX,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,77.27,,,,,76.72,,,,,76.57,,,,,76.05
MKD,water_withdrawal,,,,,,,,,,,,,,,,,,68.55,,,,,,44.44,,,,,22.77,,,,,,,,,,26.55
MLI,water_withdrawal,,,,,,,,,96.99,,,,,,,,,,,,,,,,,,,97.86,,,,,,,,,,,
MLT,water_withdrawal,,,,,,,,,,,,,,,,,12.5,,,,,,,35.13,,,,,36.45,,,,,60.1,,,,,39.81
MMR,water_withdrawal,,,,,,,,,98.58,,,,,,,,,,,,,88.99,,,,,,,,,,,,,,,,,
MNE,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.057,,,,,,,
MNG,water_withdrawal,,,,,,,,,,,,,,,53.04,,,,,,,,,,,,,41.48,,,43.92,,,,,,,54.26,
MOZ,water_withdrawal,,,,,,,,,,,,89.26,,,,,,,,,,,78.04,,,,,,,,,,,,,,73.05,,
MRT,water_withdrawal,,,,83.97,,,,,,,,,,,,,,,,,,93.69,,,,,90.59,,,,,,,,,,,,
MUS,water_withdrawal,,,76.89,,,,,,,,,,,,,,74.8,,,,,,,,,,,,67.14,,,,,62.71,,,,,55.84
MWI,water_withdrawal,,,,,,,,,,,,,,,,86.43,,,,,,,,88,,,85.92,,,,,,,,,,,,
MYS,water_withdrawal,,,,,,,,,,,,82.02,,,,,,45.65,,,,,,,,,,,,,,,,,,,,,
NAM,water_withdrawal,,,,,,,82.14,,,,,,68.27,,,,70.15,,,,,,,69.79,,,,,,,,,,,,,,,
NER,water_withdrawal,,,,,,,,,,82,,,,,,,,,,,,,,,,,66.74,,,,,,,,,,,,87.72
NGA,water_withdrawal,,,,,,,,,70.13,,,,,,,,,,,,,53.44,,,,,47.62,,,,,44.19,,,,,,,
NIC,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,85.01,,,,,,,,,,76.7,,,,,,
NLD,water_withdrawal,,,,,,,,,,,,,2.305,,,,,3.535,,,,,,0.5901,,,,,0.6566,,,,,0.5616,,,,0.4757,
NOR,water_withdrawal,,,,,,,,,,,,,,,,,,30.17,,,,,,33.68,,,,,27.92,,,,,,,,,,
NPL,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,97.47,,,,,,98.14,,,,,,,,,,,
NZL,water_withdrawal,,,,,,,44,,,,,,,,,,,,,,,,,,,,,57.46,,,,61.66,,,,,,,
OMN,water_withdrawal,,,,,,,,,,,,,93.87,,,,,,,,,90.44,,,88.42,,,,,,,,,,85.84,,,,
PAK,water_withdrawal,,,97.98,,,,,,,,,,96.79,,,,,,,,,94.26,,,,,,,,93.95,,,,,,,,,
PAN,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.01,,,,,,36.84,
PER,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73,,,,,,,,81.37,
PHL,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9053,,,,,80.61,,,,,73.28
PNG,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,0.3685,,,,,0.255,,,,,,,,,,,,
POL,water_withdrawal,,16.63,12.28,8.744,,,9.787,,,,,,,10.23,,,,,8.461,,,,,9.446,,,,,9.327,,,,,9.599,,,,,10.1
PRK,water_withdrawal,,,,,,,,,,,,68.55,,,,,,,60.1,,,,,55.21,,,54.66,,,,,,,,,,,,
PRT,water_withdrawal,,,,,,,,,,,,,59.3,,,,,,,78.7,,,,,,,,,,,,,,,,,,,
PRY,water_withdrawal,,,,,,,,,78,,,,,,,,,,,,,71.43,,,,,,,,,,,,78.62,,,,,
PSE,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,59.86,,,,45.22,,,,,,,,,,,,43.18
QAT,water_withdrawal,,,,,,,,,,,,,,,,73.92,,,,,,71.45,,,,,,,58.26,,,,,,,,,31.96,
ROU,water_withdrawal,,35.45,39.93,36.12,,,41.41,,,,,44.59,,,,,,,23.92,,,,,12.93,,,,,15.96,,,,,16.86,,,,,22.01
RUS,water_withdrawal,,,,,,,,,,,,,,,,19.84,,,,,,,19.94,,,,,,,,,,,,,,,,28.97
RWA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,
SAU,water_withdrawal,,,,,,,,,,,,,,89.95,,,,,,,,,,,,,,88,,,,,,83.86,,,,,82.23
SDN,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.21,,,,,,
SEN,water_withdrawal,,,,,,,,,91.99,,,,,,,,,,,,,,,92.98,,,,,,,,,,,,,,,
SGP,water_withdrawal,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,water_withdrawal,,,,,,,,,88.92,,,,,,,,,,,,,24.19,,,,,21.54,,,,,,,,,,,,
SLV,water_withdrawal,,,,,,,,,,,,,,46.09,,,,,,,,55.23,,,,,67.56,,,,,,,,,,,,
SOM,water_withdrawal,,,,,,,,,97.04,,,,,,,,,,,,,99.7,,,99.48,,,,,,,,,,,,,,
SRB,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.239,,,,,14.18,,,,,12.29
SSD,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.47,,,,,,
STP,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.59,
SUR,water_withdrawal,,,,,,,,,89.13,,,,,,,,,,,,,92.54,,,,,,70,,,,,,,,,,,
SVK,water_withdrawal,,,,,,,,,,,,,,,,,,,5.115,,,,,5.119,,,,,3.27,,,,,4.614,,,,,5.68
SVN,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,0.734,,,,,0.492,,,,,0.2478,,,,,0.4187
SWE,water_withdrawal,,3.241,3.313,3.41,,,,,,,,,,5.853,,,,,5.533,,,,,5.045,,,,,4.068,,,3.644,,,,,3.158,,
SWZ,water_withdrawal,,,,95.89,,,,,,,,,,,,,,,,,,96.55,,,,,,,,,,,,,,,,,
SYC,water_withdrawal,,,,,,,,,,,7.563,,,,,,,,,,,,,,,,6.569,,,,,,,,,,,,
SYR,water_withdrawal,,,,,,,,,,,,,,,,,,,88.98,,,,,88.08,,,87.53,,,,,,,,,,,,
TCD,water_withdrawal,,,,,,,,,81.77,,,,,,,,,,,,,,,79.16,,,76.42,,,,,,,,,,,,
TGO,water_withdrawal,,,,,,,,,25.27,,,,,,,,,,,,,,,44.97,,,,,,,,,,,,,,,
THA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.37,,,,,,,,,,
TJK,water_withdrawal,,,,,,,,,,,,,,,,92.33,,,,,,91.64,,,,,,90.86,,,,,,,,,,,
TKM,water_withdrawal,,,,,,,,,,,,,,,,97.94,,,,,,96.51,,,,94.31,,,,,,,,,,,,,
TLS,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,91.38,,,,,,,,,,,,,
TTO,water_withdrawal,,,,,,,,,,,,,,,,,,,5.253,,,5.414,,,,,4.348,,,,,,4.358,,,,,,
TUN,water_withdrawal,,,,,,,,,,,,88.72,,,,,85.61,,,,,,75.96,,,,,,,,,,80,,,,,,77.39
TUR,water_withdrawal,,,,,,,,,,,,,,72.47,,,,,,,,,,83.38,,,,82.25,,,,,,86.68,,,,,85.13
TZA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,89.35,,,,,,,,,,,,,,,
UGA,water_withdrawal,,60,,,,,,,,,,,,,,,,,,,,,,37.81,,,,,,40.66,,,,,,,,,
UKR,water_withdrawal,,,,,,,,,,,,,,30.25,,,,,,,,30.01,,,,,30.01,,,,,29.99,,,,,,,34.92
URY,water_withdrawal,91,,,,,,,,,,,,,,,,,,,,,86.61,,,,,,,,,,,,,,,,,
USA,water_withdrawal,,,,22.62,,,,,,,,34.81,,,,,,,,,,35.13,,,,,34.12,,,,,36.06,,,,,39.66,,
UZB,water_withdrawal,,,,,,,,,,,,,,,,93.66,,,,,,,90.43,,,,90,,,,,,,,,,,,92.29
VCT,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
VEN,water_withdrawal,,46,,,,,,,,,,,,,,,,,,,,43.8,,,,,,,73.84,,,,,,,,,,
VNM,water_withdrawal,,,,92.55,,,89.79,,,,,,,,,,,,,,,,,,,,94.78,,,,,,,,,,,,
YEM,water_withdrawal,,,,,,,,,,,,92.09,,,,,,,,,,90,,,,,90.74,,,,,,,,,,,,
ZAF,water_withdrawal,,,,,,,,,,,,71.98,,,,,67.5,,,,,61.27,,,,,,,,,,,,,,,,,58.77
ZMB,water_withdrawal,,,,,,,,,,,,,,76.65,,77.26,,,,,,,,73.28,,,,,,,,,,,,,,,
ZWE,water_withdrawal,,,,,,,,,79.02,,,,,,,,,,,,,,,78.91,,,,,82.07,,,,,,,,,,82.96
WORLD,water_withdrawal,91,459.051,878.993,1125.581,91,99.02,1060.885,156.1,1701.322,82,7.563,1630.8032,527.574,1097.573,279.57,930.5,1200.3629,445.929,546.7563,78.7,47.3306,3859.3137,794.987,2095.2421,381.17,472.57,2084.7237,1143.542,1467.0405,459.54,286.08,799.0973,367.668,1632.4319,150.78,66.53,341.225,927.9861,1760.56
